bookdown_path,stat545_path
automating-pipeline.html,automation04_make-activity.html
make-test-drive.html,automation03_make-test-drive.html
basic-data-care.html,block006_care-feeding-data.html
factors-boss.html,block029_factors.html
shiny-tutorial.html,shiny01_activity.html
character-encoding.html,block032_character-encoding.html
character-vectors.html,block028_character-data.html
diy-web-data.html,webdata03_activity.html
effective-graphs.html,block015_graph-dos-donts.html
functions-practicum.html,block012_function-regress-lifeexp-on-year.html
version-control.html#claim-stat545-repo,git08_claim-stat545-repo.html
install.html,block000_r-rstudio-install.html
dplyr-intro.html,block009_dplyr-intro.html
join-cheatsheet.html,bit001_dplyr-cheatsheet.html
make-windows.html,automation02_windows.html
multiple-plots.html,block020_multiple-plots-on-a-page.html
automation-overview.html,automation00_index.html
graphics-overview.html,graph00_index.html
package-overview.html,packages00_index.html
r-basics.html,block002_hello-r-workspace-wd-project.html
r-objects.html,block004_basic-r-objects.html
secrets.html,block016_secrets-happy-graphing.html
random.html#draw-the-owl,bit007_draw-the-rest-of-the-owl.html
random.html#github-browsability,bit006_github-browsability-wins.html
random.html#store-api-key,bit003_api-key-env-var.html
random.html#data-carp-tidy-data,bit002_tidying-lotr-data.html
dplyr-single.html,block010_dplyr-end-single-table.html
shiny-slides.html,shiny00_index.html
web-data-slides.html,webdata01_slides.html
system-prep.html,packages01_system-prep.html
lookup.html,bit008_lookup.html
qualitative-colors.html,block019_enforce-color-scheme.html
r-markdown.html,block007_first-use-rmarkdown.html
api-wrappers.html,webdata02_activity.html
colors.html,block018_colors.html
multiple-tibbles.html,block033_working-with-two-tables.html
functions-part1.html,block011_write-your-own-function-01.html
functions-part2.html,block011_write-your-own-function-02.html
functions-part3.html,block011_write-your-own-function-03.html
package-from-scratch.html,packages06_foofactors-package.html
import-export.html,block026_file-out-in.html
save-figs.html,block017_write-figure-to-file.html
