ID,HUNT_YEAR,MU,GBPU_ID,GBPU_NAME,KILL_CODE,SEX,AGE_CLASS,SPATIAL
1,1977,740,3,Finlay-Ospika,Hunter Kill,M,NA,yes
2,1977,201,43,North Cascades,Hunter Kill,M,5-9,yes
3,1977,719,6,Hart,Hunter Kill,F,NA,no
4,1977,514,48,N/A - extirpated,Hunter Kill,M,0-2,yes
5,1977,314,43,North Cascades,Hunter Kill,M,5-9,yes
6,1977,805,43,North Cascades,Hunter Kill,M,3-4,yes
7,1978,421,29,South Rockies,Hunter Kill,M,3-4,yes
8,1978,721,6,Hart,Hunter Kill,F,0-2,yes
9,1978,722,6,Hart,Hunter Kill,U,NA,yes
10,1978,722,6,Hart,Hunter Kill,M,10-14,yes
11,1978,722,6,Hart,Hunter Kill,F,5-9,yes
12,1978,722,6,Hart,Hunter Kill,F,5-9,yes
13,1978,721,6,Hart,Hunter Kill,M,NA,yes
14,1978,721,6,Hart,Hunter Kill,M,0-2,yes
15,1978,719,6,Hart,Hunter Kill,M,5-9,yes
16,1978,720,6,Hart,Hunter Kill,M,3-4,yes
17,1978,720,6,Hart,Hunter Kill,M,3-4,yes
18,1979,722,6,Hart,Hunter Kill,M,3-4,yes
19,1979,722,6,Hart,Hunter Kill,M,3-4,yes
20,1977,750,1,Rocky,Hunter Kill,M,NA,yes
21,1977,756,51,Taiga,Hunter Kill,M,NA,yes
22,1977,702,10,Robson,Animal Control,M,NA,yes
23,1978,704,10,Robson,Hunter Kill,M,15+,yes
24,1979,704,10,Robson,Pick Up (pre-2004)*,U,15+,yes
25,1980,702,10,Robson,Hunter Kill,F,5-9,yes
26,1980,703,10,Robson,Hunter Kill,M,3-4,yes
27,1980,703,10,Robson,Hunter Kill,M,3-4,yes
28,1980,703,10,Robson,Hunter Kill,M,3-4,yes
29,1980,703,10,Robson,Hunter Kill,M,10-14,yes
30,1980,703,10,Robson,Hunter Kill,M,3-4,yes
31,1978,703,10,Robson,Hunter Kill,M,NA,yes
32,1980,717,7,Parsnip,Hunter Kill,F,10-14,yes
33,1980,703,10,Robson,Hunter Kill,M,10-14,yes
34,1981,702,10,Robson,Hunter Kill,M,10-14,yes
35,1981,702,10,Robson,Hunter Kill,M,5-9,yes
36,1977,728,5,Omineca,Hunter Kill,M,5-9,yes
37,1977,728,5,Omineca,Hunter Kill,F,5-9,yes
38,1977,728,5,Omineca,Hunter Kill,F,0-2,yes
39,1977,728,5,Omineca,Hunter Kill,M,5-9,yes
40,1977,725,64,Nation,Hunter Kill,U,NA,yes
41,1978,712,68,Nulki,Hunter Kill,M,10-14,yes
42,1977,752,55,Muskwa,Hunter Kill,M,15+,yes
43,1977,618,59,Upper Skeena-Nass,Hunter Kill,M,3-4,yes
44,1977,616,62,Stewart,Hunter Kill,F,NA,no
45,1978,616,62,Stewart,Hunter Kill,M,NA,yes
46,1978,616,62,Stewart,Hunter Kill,F,5-9,no
47,1978,616,62,Stewart,Hunter Kill,M,3-4,no
48,1978,609,65,Bulkley-Lakes,Hunter Kill,M,10-14,yes
49,1978,617,59,Upper Skeena-Nass,Hunter Kill,M,5-9,yes
50,1978,607,61,Babine,Hunter Kill,M,15+,yes
51,1977,627,84,Tatshenshini,Hunter Kill,M,15+,yes
52,1977,627,84,Tatshenshini,Hunter Kill,M,5-9,yes
53,1977,626,54,Taku,Hunter Kill,M,15+,yes
54,1977,626,54,Taku,Hunter Kill,M,5-9,yes
55,1977,626,54,Taku,Hunter Kill,M,NA,yes
56,1977,627,84,Tatshenshini,Hunter Kill,F,3-4,yes
57,1977,604,70,Bulkley-Lakes or Francois,Hunter Kill,M,3-4,no
58,1978,604,70,Francois,Hunter Kill,M,NA,yes
59,1978,604,70,Francois,Hunter Kill,M,0-2,yes
60,1978,622,54,Taku,Hunter Kill,M,NA,yes
